nHeight	timeStamp	与每块标准出块时间差值	与每17块标准时间差值	nBits 16hex	每块难度差值	nBits
0	1269211443	0	0	0x1c7fffff	0	478150655
30	1269215435	17	-200	0x1c73ecd3	791340	477359315
60	1269219471	9	-171	0x1c6924f0	445534	476652784
90	1269223308	-51	-415	0x1c5ff26f	466087	476050031
120	1269227366	-51	-271	0x1c566787	302688	475424647
150	1269231242	-56	-413	0x1c4e49ec	359051	474892780
180	1269235334	-24	-190	0x1c473191	282343	474427793
210	1269239272	-58	-386	0x1c41bae6	214549	474069734
240	1269243069	-49	-304	0x1c388aa6	312957	473467558
270	1269247213	-2	-233	0x1c346cd5	154259	473197781
300	1269250910	-26	-528	0x1c2e9495	267627	472814741
330	1269254657	-9	-506	0x1c28a916	174309	472426774
360	1269258658	-51	-210	0x1c2420a0	117982	472129696
390	1269262505	-58	-409	0x1c20130c	181646	471864076
420	1269266229	4	-449	0x1c1bfafa	168334	471595770
450	1269270188	-2	-180	0x1c186d36	113763	471362870
480	1269274297	-2	-232	0x1c17019d	57514	471269789
510	1269278156	-48	-350	0x1c14d447	90016	471127111
540	1269281871	-7	-403	0x1c11d8f4	102457	470931700
570	1269285701	8	-318	0x1c0fb6a2	68947	470791842
600	1269289697	-30	-316	0x1c0e58bb	43858	470702267
630	1269293760	19	-258	0x1c0d0fe7	45609	470618087
660	1269297421	10	-428	0x1c0b6d7b	67834	470510971
690	1269301253	-31	-409	0x1c0a2298	41098	470426264
720	1269305041	9	-423	0x1c08b8b2	45954	470333618
750	1269308906	15	-354	0x1c07b2fc	40709	470266620
780	1269312991	-7	-162	0x1c070101	24102	470221057
810	1269316935	20	-342	0x1c066dcf	25770	470183375
840	1269320575	17	-450	0x1c05946c	33593	470127724
870	1269324205	-49	-489	0x1c04c325	29266	470074149
900	1269328082	-25	-330	0x1c04233e	22585	470033214
930	1269332036	-44	-304	0x1c03c0af	14416	470007983
960	1269336129	17	-202	0x1c0364e7	13775	469984487
990	1269339933	4	-446	0x1c031937	16983	469965111
1020	1269343890	1	-280	0x1c02c375	8606	469943157
1050	1269347702	-13	-474	0x1c0272f2	10858	469922546
1080	1269351422	-10	-457	0x1c021de9	14831	469900777
1110	1269355272	-13	-398	0x1c01dd31	9937	469884209
1140	1269359341	-9	-204	0x1c01b037	5392	469872695
1170	1269363288	-53	-285	0x1c018d0b	5894	469863691
1200	1269367387	-32	-315	0x1c01736d	2747	469857133
1230	1269371440	-2	-257	0x1c015202	3742	469848578
1260	1269375403	-10	-126	0x1c012c50	4084	469838928
1290	1269379588	10	-169	0x1c011b31	2398	469834545
1320	1269383194	-50	-499	0x1c00fb11	5556	469826321
1350	1269387033	10	-395	0x1c00d6c9	4341	469817033
1380	1269390900	-35	-403	0x1c00bfbf	3912	469811135
1410	1269394988	7	-71	0x1c00aef8	1649	469806840
1440	1269398823	20	-450	0x1c009c4e	3557	469802062
1470	1269402511	5	-490	0x1c008997	2143	469797271
1500	1269406165	-6	-558	0x1b75ecc5	593508	460713157
1530	1269409967	-1	-339	0x1b6382d3	588901	459506387
1560	1269413932	-19	-310	0x1b5b11ca	361073	458953162
1590	1269417690	-56	-467	0x1b509718	415588	458266392
1620	1269421692	-32	-172	0x1b479547	190318	457676103
1650	1269425600	-9	-406	0x1b4140dd	233034	457261277
1680	1269429548	9	-421	0x1b3aba1d	219600	456833565
1710	1269433376	-26	-303	0x1b33a2e5	233933	456368869
1740	1269437286	19	-315	0x1b2e74fe	174512	456029438
1770	1269441149	8	-280	0x1b28f211	161526	455668241
1800	1269445154	-9	-325	0x1b25a66f	109800	455452271
1830	1269449045	-12	-283	0x1b2101d8	161571	455147992
1860	1269452922	-50	-339	0x1b1d4d35	189797	454905141
