nHeight	timeStamp	与每块标准出块时间差值	与每17块标准时间差值	nBits 16hex	每块难度差值	nBits
0	1269211443	0	0	0x1c7fffff	0	478150655
30	1269217415	93	940	0x1d008d90	4286542447	486575504
60	1269223298	80	853	0x1d00b757	4294961296	486586199
90	1269229088	29	901	0x1d00e0f1	4294961183	486596849
120	1269235301	58	1089	0x1d012fb4	4294955794	486617012
150	1269241400	7	738	0x1d01acc4	4294948800	486649028
180	1269247356	76	851	0x1d022450	4294946717	486679632
210	1269253260	2	777	0x1d02c1c5	4294942395	486719941
240	1269259485	72	1138	0x1d03a088	4294927975	486776968
270	1269265542	69	968	0x1d04cfa3	4294924711	486854563
300	1269271710	58	969	0x1d06a737	4294894376	486975287
330	1269277879	59	1044	0x1d08ad86	4294884196	487107974
360	1269283703	54	802	0x1d0b7460	4294867511	487289952
390	1269289606	55	737	0x1d0e8ab1	4294845119	487492273
420	1269295563	72	802	0x1d130b47	4294785462	487787335
450	1269301344	49	762	0x1d182380	4294763745	488121216
480	1269307315	15	763	0x1d1fba80	4294632789	488618624
510	1269313470	24	1046	0x1d291a2a	4294568109	489232938
540	1269319430	71	873	0x1d35cbd1	4294497685	490064849
570	1269325478	89	797	0x1d48b215	4294197475	491303445
600	1269331305	80	737	0x1d5b9cd4	4294190991	492543188
630	1269337459	58	977	0x1d78a044	4293753036	494444612
660	1269343367	40	726	0x1e009ec4	4294961920	503357124
690	1269349343	84	829	0x1e00cfec	4294959281	503369708
720	1269355430	40	965	0x1e010ea5	4294957076	503385765
750	1269361469	83	825	0x1e0169fc	4294954054	503409148
780	1269367366	72	797	0x1e01d244	4294951141	503435844
810	1269373229	34	794	0x1e024f8d	4294948039	503467917
840	1269378804	40	597	0x1e02dc92	4294948862	503504018
870	1269384853	96	836	0x1e03b343	4294934794	503558979
900	1269390846	14	955	0x1e04cbc3	4294924696	503630787
930	1269396936	12	764	0x1e069096	4294896708	503746710
960	1269403098	17	1047	0x1e088a2b	4294885288	503876139
990	1269409026	10	833	0x1e0b6439	4294861260	504063033
1020	1269415199	98	984	0x1e0ef380	4294822419	504296320
1050	1269421230	22	947	0x1e13dce6	4294781418	504618214
1080	1269426916	26	570	0x1e194f4a	4294777772	504975178
1110	1269432779	31	763	0x1e1fe0f1	4294698483	505405681
1140	1269438669	34	795	0x1e297b97	4294577084	506035095
1170	1269444859	13	868	0x1e36a6e3	4294378806	506898147
1200	1269450729	7	829	0x1e46c2d8	4294412741	507953880
1230	1269456608	29	780	0x1e5b2f0c	4294242233	509292300
1260	1269462390	78	655	0x1e75084f	4293997161	510986319
1290	1269468512	91	1060	0x1f009627	4286459247	520132135
1320	1269474397	47	823	0x1f00c5f4	4294960280	520144372
1350	1269480149	9	677	0x1f00fc16	4294959011	520158230
1380	1269486002	17	697	0x1f013d5a	4294957393	520174938
1410	1269491838	22	662	0x1f0195c4	4294953445	520197572
1440	1269498115	62	1034	0x1f021d55	4294943101	520232277
1470	1269504186	36	844	0x1f02cdef	4294942358	520277487
1500	1269510094	99	756	0x1f03ac21	4294935337	520334369
1530	1269516133	28	821	0x1f04ce0d	4294922972	520408589
1560	1269522062	60	834	0x1f063f93	4294914266	520503187
1590	1269527951	34	803	0x1f080ed1	4294897430	520621777
1620	1269534185	91	1050	0x1f0a8da2	4294871373	520785314
1650	1269540031	34	786	0x1f0de025	4294855314	521003045
1680	1269546069	39	902	0x1f1213c4	4294808967	521278404
1710	1269552029	19	828	0x1f17ef05	4294737588	521662213
1740	1269558049	36	888	0x1f1ed85e	4294716458	522115166
1770	1269563642	29	597	0x1f26a374	4294714953	522625908
1800	1269569502	6	799	0x1f3114ba	4294556257	523310266
1830	1269575361	49	823	0x1f3e625b	4294457095	524182107
1860	1269581307	18	793	0x1f50f32e	4294199451	525398830
1890	1269587431	21	830	0x1f6b1a65	4293937332	527112805
1920	1269593149	83	751	0x200087dc	4286019088	536905692
1950	1269599283	86	935	0x2000b265	4294960323	536916581
1980	1269605346	75	849	0x2000eef3	4294958431	536932083
2010	1269611544	53	1124	0x200138a4	4294955371	536950948
2040	1269617348	41	688	0x20019d00	4294954721	536976640
2070	1269623327	94	869	0x200218fc	4294947227	537008380
2100	1269629366	43	834	0x2002c33e	4294941101	537051966
2130	1269635048	30	476	0x20038b81	4294938999	537103233
2160	1269641032	35	727	0x20047a49	4294928148	537164361
2190	1269646963	3	753	0x2005c241	4294914721	537248321
2220	1269653113	100	951	0x20079bc6	4294894356	537369542
2250	1269659141	19	732	0x200a5853	4294857476	537548883
2280	1269665532	100	1174	0x200d9b26	4294826886	537762598
2310	1269671559	52	951	0x200f496c	42119	537872748
2340	1269677465	83	668	0x200efb93	67460	537852819
2370	1269683529	7	776	0x200f7019	13471	537882649
2400	1269689515	7	953	0x200f8291	4294894923	537887377
2430	1269695421	59	855	0x1f01ce16	17713545	520211990
2460	1269701336	71	804	0x200f0640	60473	537855552
2490	1269707193	65	756	0x2010169d	4294919542	537925277
2520	1269712842	95	575	0x200ee1c7	13202	537846215
2550	1269718938	91	938	0x200fd503	4294917678	537908483
2580	1269725005	75	1007	0x200088fc	964339	536905980
2610	1269730998	28	966	0x200fcdb0	4294930173	537906608
2640	1269737109	45	936	0x200fc996	41890	537905558
2670	1269742877	85	766	0x20102320	4294964722	537928480
2700	1269748844	48	839	0x200f5c73	4294949309	537877619
2730	1269754740	26	772	0x200f4152	32158	537870674
2760	1269760530	63	943	0x200fe3c7	4294958525	537912263
2790	1269766367	73	776	0x200f5301	6133	537875201
2820	1269772169	41	690	0x200f1bd0	47138	537861072
2850	1269777958	21	531	0x200ea095	90954	537829525
2880	1269784109	9	1029	0x20104fea	4277549645	537939946
2910	1269790096	55	705	0x201022be	4294923192	537928382
2940	1269796293	46	892	0x200fa1da	24277	537895386
2970	1269802120	20	801	0x20102271	4294941588	537928305
3000	1269808298	27	1079	0x200fba4a	4294910445	537901642
3030	1269814499	96	964	0x2010105e	4294924868	537923678
3060	1269820700	100	974	0x2010375d	4294940513	537933661
3090	1269826646	13	777	0x201015bd	4294923815	537925053
3120	1269832560	72	810	0x200fbe43	2204	537902659
3150	1269838408	1	789	0x200f7c4c	4277615061	537885772
3180	1269844282	92	850	0x200fb6ea	4294961973	537900778
3210	1269850373	33	762	0x200fff61	4277443965	537919329
3240	1269856220	35	749	0x200fd5e2	4294943704	537908706
3270	1269862296	9	952	0x2000ed94	928145	536931732
3300	1269868453	83	781	0x20102f64	4294918089	537931620
3330	1269874391	1	870	0x200ef3cc	83669	537850828
3360	1269880172	59	759	0x200f7b1c	3520	537885468
3390	1269886148	18	802	0x200f2f83	51862	537866115
3420	1269892086	94	869	0x20103859	4294922760	537933913
3450	1269898036	58	902	0x200f619c	4294948425	537878940
3480	1269904040	15	716	0x2010646d	4294957322	537945197
3510	1269910012	79	859	0x20103014	4294897816	537931796
3540	1269915862	1	726	0x200f3706	51487	537868038
3570	1269921964	47	865	0x20102c15	4280159076	537930773
3600	1269927962	95	924	0x200f4167	4294945186	537870695
3630	1269933879	87	1011	0x1f04c98b	17507663	520407435
3660	1269939829	93	942	0x200f140d	4294962324	537859085
3690	1269945811	20	749	0x200ef50f	67136	537851151
3720	1269951669	35	665	0x200fc4ea	38788	537904362
3750	1269957812	80	951	0x200f1051	62325	537858129
3780	1269964032	90	905	0x200f9d0a	4294966776	537894154
3810	1269970101	95	938	0x200fe45d	4294889850	537912413
3840	1269975989	100	806	0x200f7a0f	610	537885199
3870	1269981959	51	858	0x200ef504	68897	537851140
3900	1269987755	41	861	0x200f85f9	4294952772	537888249
3930	1269993807	26	798	0x200f119c	63056	537858460
3960	1269999724	20	770	0x200fbb56	21738	537901910
3990	1270005972	83	976	0x2010976f	4294941704	537958255
4020	1270012313	85	1042	0x20109e39	4294888260	537959993
4050	1270018311	16	738	0x200f06a8	42186	537855656
4080	1270024224	50	653	0x200ff284	4294924701	537916036
4110	1270030217	15	735	0x20101582	4294911376	537924994
4140	1270036501	49	1065	0x201041b3	4294949619	537936307
4170	1270042436	22	800	0x2000a7d2	973339	536913874
4200	1270048273	2	613	0x200fcc73	4294934110	537906291
4230	1270054384	82	959	0x200ea836	98112	537831478
4260	1270060232	14	730	0x201050e6	4294924039	537940198
4290	1270066331	75	882	0x201025e1	4294939469	537929185
4320	1270072078	5	554	0x200ee43e	28087	537846846
4350	1270077800	75	733	0x200f5779	29157	537876345
4380	1270083687	60	716	0x200f319b	35673	537866651
4410	1270089562	14	811	0x200fb486	4294917119	537900166
4440	1270095683	31	871	0x2010255d	5007	537929053
4470	1270101833	87	898	0x20101b97	4294931517	537926551
4500	1270107691	70	732	0x201003c6	4294917785	537920454
4530	1270113661	13	886	0x200fcf9a	4294938965	537907098
4560	1270119674	74	756	0x200fe919	32827	537913625
4590	1270125822	79	986	0x201040dd	7636	537936093
4620	1270131878	97	899	0x200fb66c	4294938086	537900652
4650	1270137970	56	856	0x200fcec6	4277660665	537906886
4680	1270143860	49	815	0x200ef439	68682	537850937
4710	1270149559	98	721	0x1f32902d	14465156	523407405
4740	1270155716	92	1013	0x201046a5	4294930035	537937573
4770	1270161684	74	889	0x200fe6d9	4294926389	537913049
4800	1270167846	24	910	0x200ffbcb	4294936431	537918411
4830	1270173768	97	828	0x200fca0a	35062	537905674
4860	1270179987	32	1036	0x200f4442	72506	537871426
4890	1270186109	19	888	0x201034da	4294901635	537933018
4920	1270192095	76	780	0x200ff2ad	4294943616	537916077
4950	1270198207	54	966	0x2000da91	947781	536926865
4980	1270204130	87	770	0x200fc892	4294928031	537905298
5010	1270210354	35	834	0x2010288b	4277561533	537929867
5040	1270216416	18	908	0x2010127d	4294920508	537924221
5070	1270222540	68	901	0x200f6e5a	4294946886	537882202
5100	1270228876	64	1090	0x200fa41c	17682	537895964
5130	1270235009	19	877	0x200f92df	4294942258	537891551
5160	1270241105	55	780	0x1f067fc5	5098139	520519621
5190	1270247036	18	791	0x200f79c1	4294911932	537885121
5220	1270252913	24	764	0x200f3470	68802	537867376
5250	1270259093	56	983	0x200f9dbb	4294963419	537894331
5280	1270265135	4	907	0x2010719b	4294929508	537948571
5310	1270270971	58	705	0x200f6edc	4294949767	537882332
5340	1270276708	36	733	0x200fe7ac	4293957785	537913260
5370	1270282587	31	946	0x200f7f06	4277326960	537886470
5400	1270288519	32	840	0x200eccf7	89447	537840887
5430	1270294461	88	859	0x200fe289	4294926936	537911945
5460	1270300376	65	780	0x200f4b92	14173	537873298
5490	1270306489	55	930	0x20102299	4294917350	537928345
5520	1270312442	48	797	0x200ec8f0	108886	537839856
5550	1270318524	60	979	0x200ff8bb	19101	537917627
5580	1270324908	60	976	0x200fac7a	3579	537898106
5610	1270330678	52	590	0x200f374a	54880	537868106
5640	1270336620	81	850	0x200fed21	4294936203	537914657
5670	1270342547	4	744	0x200fd7a4	4294953528	537909156
5700	1270348569	86	1028	0x200f6db2	4294933244	537882034
5730	1270354599	98	960	0x200f1b71	76130	537860977
5760	1270360458	92	847	0x20101aad	4294941953	537926317
5790	1270366448	9	844	0x200f3c93	55498	537869459
5820	1270372372	81	778	0x200fbe1a	4294950771	537902618
5850	1270378448	29	892	0x20103407	4266739862	537932807
5880	1270384303	80	740	0x200f676d	4294950566	537880429
5910	1270390063	55	712	0x200fc705	4294957086	537904901
5940	1270396256	93	1001	0x200ee0b9	87101	537845945
5970	1270402253	12	773	0x200f44da	39523	537871578
6000	1270408141	95	773	0x1f551dee	12200576	525671918
6030	1270414240	46	846	0x200f22bb	58754	537862843
6060	1270420312	0	869	0x20106155	4294902586	537944405
6090	1270426088	36	843	0x200fa676	4294909486	537896566
6120	1270432340	69	995	0x1f020e4e	17704924	520228430
6150	1270438380	52	879	0x200f6676	48688	537880182
6180	1270444340	98	810	0x200f18f1	49305	537860337
6210	1270450432	85	843	0x200ffb5c	4294873743	537918300
6240	1270456521	43	890	0x200f5048	11921	537874504
6270	1270462351	26	693	0x200f2be6	47815	537865190
6300	1270468317	21	902	0x200f6868	4293992336	537880680
6330	1270474326	54	798	0x200faf66	4294915900	537898854
6360	1270480487	77	969	0x201019c0	3640	537926080
6390	1270486473	40	851	0x2000a6d3	973048	536913619
6420	1270492379	46	814	0x200feefc	4294909826	537915132
6450	1270498283	30	902	0x200ddb59	4266455386	537779033
6480	1270504126	11	753	0x200fa712	4947	537896722
6510	1270509958	47	816	0x200ff80e	4294937337	537917454
6540	1270516005	23	736	0x200fc0d2	4294948590	537903314
6570	1270522135	65	969	0x200f897a	8930	537889146
6600	1270527803	36	725	0x200fadb5	1813	537898421
6630	1270533829	84	939	0x200f23e6	53311	537863142
6660	1270540204	98	1055	0x200f588f	29119	537876623
6690	1270546321	67	839	0x20104e10	4294868086	537939472
6720	1270552176	23	701	0x200fa412	4294942079	537895954
6750	1270558157	30	869	0x200eb6da	89010	537835226
6780	1270564315	99	996	0x2010211c	4294922934	537927964
6810	1270570361	74	780	0x200f4705	73154	537872133
6840	1270576520	44	1006	0x2000e850	961660	536930384
6870	1270582568	70	834	0x201012d2	4294907886	537924306
6900	1270588528	33	962	0x2010255e	4294886376	537929054
6930	1270594904	53	1030	0x200f731a	67932	537883418
6960	1270600793	3	744	0x200f2a6c	3431	537864812
6990	1270606924	62	890	0x2010015e	4294925614	537919838
7020	1270612659	23	747	0x200f1d13	4294962522	537861395
7050	1270618683	62	982	0x20102016	4294935843	537927702
7080	1270624552	50	635	0x200fa719	4294954028	537896729
7110	1270630742	66	911	0x2010601d	4294934538	537944093
7140	1270636828	23	996	0x20103525	4294935905	537933093
7170	1270643021	26	978	0x201002c9	4294938435	537920201
7200	1270649004	52	1015	0x1f00b215	17724978	520139285
7230	1270655323	78	982	0x200f892c	4294946887	537889068
7260	1270661475	20	815	0x2010312a	4294924574	537932074
7290	1270667440	69	903	0x200f791f	4277830966	537884959
7320	1270673409	41	772	0x200f22fc	62295	537862908
7350	1270679391	0	799	0x200ff783	4294927094	537917315
7380	1270685357	18	839	0x2010179c	4294898473	537925532
7410	1270691490	35	994	0x200f8a36	4294942529	537889334
7440	1270697465	35	949	0x201049a6	4294927938	537938342
7470	1270703551	32	898	0x200f76d3	4294941873	537884371
7500	1270709748	61	942	0x201020ca	4294965816	537927882
7530	1270715881	79	858	0x200ffcb7	4277627809	537918647
7560	1270722153	63	1058	0x2010954f	4294880748	537957711
7590	1270728201	14	864	0x200ffd21	4277509273	537918753
7620	1270733949	9	763	0x200f537f	4294952370	537875327
7650	1270740238	97	1011	0x200fc09a	4294962655	537903258
7680	1270746186	12	827	0x20102ac5	4294884441	537930437
7710	1270752435	37	1046	0x200fba62	1752	537901666
7740	1270758321	10	857	0x200fbd5c	4294923886	537902428
7770	1270764288	31	812	0x200e57b0	4294088555	537810864
7800	1270769965	28	476	0x200fd488	4294944688	537908360
7830	1270775760	58	656	0x1f076b88	17319805	520579976
7860	1270781648	63	767	0x200f9fca	4294881276	537894858
7890	1270787645	85	847	0x200ebd1a	4294052802	537836826
7920	1270793587	28	827	0x20100174	4294938022	537919860
7950	1270799316	61	647	0x20102646	4294947448	537929286
7980	1270805268	6	826	0x2010562a	4294931507	537941546
8010	1270811347	66	862	0x200f7f95	41414	537886613
8040	1270817395	90	971	0x20106a93	4294913114	537946771
8070	1270823473	42	903	0x200fe589	4294919332	537912713
8100	1270829582	37	856	0x200f50ca	12153	537874634
8130	1270835490	70	901	0x200ffdcd	4294948812	537918925
8160	1270840953	79	681	0x200fa502	4294924195	537896194
8190	1270847176	89	957	0x200f8b5e	22691	537889630
8220	1270853219	45	866	0x200f6771	4283560885	537880433
8250	1270859155	3	858	0x200f537a	4294939247	537875322
8280	1270865283	94	866	0x20106355	4294951618	537944917
8310	1270871373	76	974	0x200f66ab	4294966077	537880235
8340	1270877596	16	1023	0x200f9dc5	27403	537894341
8370	1270883545	64	753	0x200f5bf6	11884	537877494
8400	1270889588	82	928	0x20101b6d	4294933384	537926509
8430	1270895434	0	834	0x200f4a04	602	537872900
8460	1270901490	15	882	0x2010533c	4294930306	537940796
8490	1270907691	55	1107	0x200feba9	4294880412	537914281
8520	1270913656	67	785	0x200fd809	4294966895	537909257
8550	1270919859	12	983	0x200f9666	17643	537892454
8580	1270925752	10	685	0x200fd5d6	31607	537908694
8610	1270931957	97	1020	0x200f7ed2	13676	537886418
8640	1270937919	98	811	0x200f2379	70321	537863033
8670	1270943806	49	818	0x20100da8	4294949067	537922984
8700	1270949899	81	914	0x20100a6b	4294906712	537922155
8730	1270955942	29	888	0x200fc9cf	59246	537905615
8760	1270961837	18	903	0x200fe510	22743	537912592
8790	1270967594	57	731	0x200f5622	4294938927	537876002
8820	1270973668	28	931	0x200f4ea1	30738	537874081
8850	1270979684	65	964	0x200e8018	119573	537821208
8880	1270985585	70	727	0x200f1121	44618	537858337
8910	1270991404	14	724	0x200f7d9a	4294964504	537886106
8940	1270997548	62	904	0x200f56f9	37904	537876217
8970	1271003605	100	1063	0x200ff1af	4294937861	537915823
9000	1271009408	30	595	0x20100485	4294937458	537920645
9030	1271015202	47	757	0x200f8177	4294894383	537887095
9060	1271020902	20	645	0x20102ad0	4294936391	537930448
9090	1271027197	57	1061	0x200fbfe9	4294895543	537903081
9120	1271033224	93	868	0x2010435c	4294912877	537936732
9150	1271039349	20	901	0x200f42d0	72785	537871056
9180	1271045413	94	824	0x200f4517	35871	537871639
9210	1271051268	95	791	0x200f6e30	4294908189	537882160
9240	1271057276	13	1076	0x2010a331	4294912407	537961265
9270	1271063527	41	1005	0x1f10f8eb	16664039	521205995
9300	1271069730	63	940	0x2010a17b	4294881055	537960827
9330	1271075949	19	903	0x200f84ba	4294946285	537887930
9360	1271081766	14	795	0x200f33a1	4294009838	537867169
9390	1271087528	12	728	0x200e35e2	115652	537802210
9420	1271093602	76	852	0x201079c8	4294896233	537950664
9450	1271099687	28	844	0x20100230	4294889853	537920048
9480	1271105830	96	884	0x200f66b6	4294962746	537880246
9510	1271112117	20	1081	0x200fb489	12678	537900169
9540	1271118287	34	929	0x200fb2a2	21262	537899682
9570	1271124426	36	916	0x200f596a	4294002514	537876842
9600	1271130322	30	703	0x1f30a30f	14600547	523281167
9630	1271136386	13	972	0x20104570	4294907952	537937264
9660	1271142529	51	837	0x200fecd1	4294932963	537914577
9690	1271148435	14	915	0x20105437	4294936426	537941047
9720	1271154574	99	1030	0x200fd8cb	4294910078	537909451
9750	1271160431	2	854	0x200f3f6c	15470	537870188
9780	1271166433	48	817	0x200f1c14	48049	537861140
9810	1271172202	83	769	0x201016c3	4294938683	537925315
9840	1271178282	55	825	0x200f846d	4294953747	537887853
9870	1271184433	50	1024	0x200ec5a1	4294053377	537839009
9900	1271190525	91	916	0x200f4685	45819	537872005
9930	1271196494	8	727	0x200f2608	45669	537863688
9960	1271202769	54	900	0x2010a5e5	4294926244	537961957
9990	1271208906	51	858	0x20105b6e	4294959697	537942894
10020	1271214968	88	922	0x200f8e59	4294933817	537890393
10050	1271221113	46	878	0x201034f6	12939	537933046
10080	1271226957	73	758	0x200f711c	7008	537882908
10110	1271232903	9	816	0x200f5414	35227	537875476
10140	1271238849	72	761	0x200eb994	84359	537835924
10170	1271244911	83	954	0x20102c91	4294917432	537930897
10200	1271250896	76	906	0x200f67dc	52805	537880540
10230	1271256743	0	756	0x200fa3fc	4294959726	537895932
10260	1271262775	76	879	0x200f1bda	71642	537861082
10290	1271268486	37	648	0x200f917d	4294952367	537891197
10320	1271274710	29	873	0x200f48c5	48165	537872581
10350	1271280647	60	745	0x20103d33	4294946474	537935155
10380	1271286547	55	784	0x2010151f	4294957856	537924895
10410	1271292732	49	994	0x200f97b9	50690	537892793
10440	1271298620	30	790	0x200f800d	16533	537886733
10470	1271304802	69	826	0x200f8ae2	8036	537889506
10500	1271310661	98	749	0x200f4828	4721	537872424
10530	1271316673	70	890	0x200ede6a	69654	537845354
10560	1271322804	86	960	0x20105aa8	4294955653	537942696
10590	1271328668	29	792	0x200f458c	4294965811	537871756
10620	1271334968	24	963	0x200fb8a1	12062	537901217
10650	1271341032	91	800	0x200f5b76	38211	537877366
10680	1271347007	36	832	0x200ed27d	85994	537842301
10710	1271353267	56	1051	0x200f9399	11517	537891737
10740	1271359295	11	770	0x200f5b46	41224	537877318
10770	1271365291	16	777	0x200e848d	109621	537822349
10800	1271371438	89	925	0x20100a11	4294932380	537922065
10830	1271377379	51	788	0x200f690d	61696	537880845
10860	1271383644	73	1131	0x200fa2fe	10803	537895678
10890	1271389703	32	952	0x2010552c	4294885570	537941292
10920	1271395748	83	826	0x200f3f4e	69800	537870158
10950	1271401676	47	761	0x20102049	4294925988	537927753
10980	1271407302	9	615	0x200f4101	4294932900	537870593
11010	1271413190	31	984	0x1f1015cb	16714663	521147851
11040	1271418835	7	719	0x200fe456	4294956219	537912406
11070	1271424866	91	860	0x1f0a9994	17068220	520788372
11100	1271430592	57	515	0x200ec8b2	88244	537839794
11130	1271436756	41	1076	0x20103420	4294933437	537932832
