nHeight	timeStamp	与每块标准出块时间差值	与每17块标准时间差值	nBits 16hex	每块难度差值	nBits
2790	1269629407	58	-127	0x1c6b9394	168383	476812180
2820	1269633998	-42	-48	0x1c6d2952	4294869738	476916050
2850	1269638694	32	53	0x1c71093c	4294779555	477169980
2880	1269642843	-49	-217	0x1c6c42f4	226233	476857076
2910	1269646966	-46	-89	0x1c63c067	295771	476299367
2940	1269651793	43	262	0x1c661fec	4294917866	476454892
2970	1269656272	45	52	0x1c666c6b	128487	476474475
3000	1269660921	12	148	0x1c684adf	10699	476596959
3030	1269665468	-46	4	0x1c6b9818	21063	476813336
3060	1269669816	-53	-43	0x1c692c0c	217996	476654604
3090	1269674511	45	-6	0x1c6bac4d	4294904252	476818509
3120	1269679257	53	233	0x1c700b74	4294749576	477105012
3150	1269683629	59	-77	0x1c6faecf	107231	477081295
3180	1269687989	45	-64	0x1c6c7f48	185695	476872520
3210	1269692495	-1	-117	0x1c6cda79	80814	476895865
3240	1269697160	-37	111	0x1c6efa30	4294746255	477035056
3270	1269701648	56	-13	0x1c6d9a8e	289926	476945038
3300	1269706226	16	-76	0x1c72dedf	4294812076	477290207
3330	1269710430	-7	-313	0x1c6ec374	123431	477021044
3360	1269715137	-11	254	0x1c6c997d	4294809039	476879229
3390	1269719689	10	22	0x1c7064f3	39981	477127923
3420	1269724330	50	95	0x1c73998a	4294701781	477337994
3450	1269729081	-3	113	0x1c76186d	4294900954	477501549
3480	1269733747	48	127	0x1c7be7f6	4294698138	477882358
3510	1269738040	-36	-125	0x1c7d0c01	4294865969	477957121
3540	1269742621	5	67	0x1c7899c1	4294852181	477665729
3570	1269747190	-8	194	0x1c789f75	77310	477667189
3600	1269751668	13	81	0x1c790af5	122799	477694709
3630	1269755912	5	-319	0x1c7962eb	157098	477717227
3660	1269760186	44	-119	0x1c721053	218366	477237331
3690	1269764412	33	-242	0x1c6daf29	150667	476950313
3720	1269769101	3	132	0x1c6cfc50	4294853557	476904528
3750	1269773675	40	47	0x1c6fc9d5	4294903954	477088213
3780	1269778139	-3	-14	0x1c6e61fc	124546	476996092
3810	1269782631	5	-94	0x1c72b6d2	4294783946	477279954
3840	1269787147	-23	-55	0x1c704449	4294910821	477119561
3870	1269791304	-30	-302	0x1c6b50ba	317238	476795066
3900	1269795798	-20	9	0x1c68e3d0	4294920879	476636112
3930	1269800312	-26	6	0x1c68ab15	9318	476621589
3960	1269804876	-48	10	0x1c695e55	4294905498	476667477
3990	1269809448	-25	21	0x1c6c2c21	4294792816	476851233
4020	1269813766	34	58	0x1c662afa	295405	476457722
4050	1269818362	-17	-65	0x1c6a6599	4294901873	476734873
4080	1269822981	43	95	0x1c6b0065	2494	476774501
4110	1269827273	-51	-122	0x1c689318	79788	476615448
4140	1269831775	38	35	0x1c67dd8b	4294917918	476568971
4170	1269836080	-45	-82	0x1c66d7f4	4294957058	476502004
4200	1269840169	11	-146	0x1c5f226e	182386	475996782
4230	1269844474	21	-199	0x1c5b2716	166095	475735830
4260	1269849092	58	67	0x1c5af54d	4294840497	475723085
4290	1269853622	45	-51	0x1c5ae063	15664	475717731
4320	1269857953	-10	-118	0x1c5acfb1	27603	475713457
4350	1269862689	57	117	0x1c5ba593	4294847384	475768211
4380	1269867120	-55	19	0x1c5bffc0	33596	475791296
4410	1269871618	40	-122	0x1c5ac4a7	206108	475710631
4440	1269876356	16	81	0x1c5e4704	4294835540	475940612
4470	1269880691	-57	-160	0x1c60f461	4294783001	476116065
4500	1269884985	52	-51	0x1c5917d3	191161	475600851
4530	1269889414	17	-79	0x1c578a91	185816	475499153
4560	1269893750	-59	-126	0x1c56dfa2	57965	475455394
4590	1269897957	-19	-55	0x1c50350a	263997	475018506
4620	1269902445	49	71	0x1c511065	4294896076	475074661
4650	1269907031	-52	-34	0x1c539e6e	4294812499	475242094
4680	1269911558	-4	60	0x1c523512	4294956527	475149586
4710	1269916124	47	145	0x1c51a596	41470	475112854
4740	1269920785	29	53	0x1c54f0a1	4294949180	475328673
4770	1269925133	-45	77	0x1c52c270	142543	475185776
4800	1269929955	-43	200	0x1c570633	4294850881	475465267
4830	1269934466	0	122	0x1c55f1cf	120657	475394511
4860	1269939206	12	260	0x1c5a6808	4294853240	475686920
4890	1269943668	-11	-42	0x1c5bf4bd	2364	475788477
4920	1269948475	-33	191	0x1c5eabe8	4294856174	475966440
4950	1269953101	34	199	0x1c61af91	10385	476163985
4980	1269958122	-17	438	0x1c6a223d	4294618167	476717629
5010	1269962874	-25	262	0x1c7010c4	4294792197	477106372
5040	1269967214	-60	-172	0x1c735d97	4294891866	477322647
5070	1269971777	-28	-228	0x1c736927	4294843051	477325607
5100	1269976545	13	297	0x1c715c67	36074	477191271
5130	1269981310	13	155	0x1c7b3258	4294670395	477835864
5160	1269985348	14	-240	0x1c735d5b	466907	477322587
5190	1269990091	55	255	0x1c73a28d	4294757671	477340301
5220	1269994536	9	-71	0x1c763af1	42859	477510385
5250	1269998931	-6	-154	0x1c73d9b0	23972	477354416
5280	1270003420	36	48	0x1c7134aa	206217	477181098
5310	1270008076	47	111	0x1c74ea45	4294797769	477424197
5340	1270012612	-3	-110	0x1c796f0a	4294935419	477720330
5370	1270017176	-21	4	0x1c791d50	4294843761	477699408
5400	1270021820	-43	-19	0x1c7d08bd	4294841002	477956285
5430	1270026520	-60	238	0x1c7f7709	4294803905	478115593
5460	1270030747	-20	-258	0x1c7d3eab	8602742	477970091
5490	1270035391	7	176	0x1c7a862a	4294953377	477791786
5520	1270039802	-24	-42	0x1c7d4b9e	47751	477973406
5550	1270044524	54	317	0x1c7da084	4294703040	477995140
5580	1270048989	-14	78	0x1d00800a	4294967291	486572042
5610	1270053749	42	261	0x1d0081b5	4294967186	486572469
5640	1270058524	44	241	0x1d008aef	4294966282	486574831
5670	1270062929	13	-59	0x1d008e25	4294966520	486575653
5700	1270067637	-57	186	0x1d008e00	4294967111	486575616
5730	1270071893	-37	-277	0x1d008e83	704	486575747
5760	1270076304	-31	31	0x1d0085e9	507	486573545
5790	1270081000	-54	229	0x1d008b43	4294966370	486574915
5820	1270085475	56	212	0x1d0087ac	640	486573996
5850	1270090263	49	225	0x1d008cfb	4294967028	486575355
5880	1270094683	28	-65	0x1d0091aa	154	486576554
5910	1270099043	18	168	0x1d008a7d	977	486574717
5940	1270103534	-12	-226	0x1d00910b	4294967142	486576395
5970	1270108105	6	41	0x1d009210	4294965973	486576656
6000	1270112344	28	-265	0x1d008a21	1693	486574625
6030	1270116876	-13	6	0x1d008800	4294967233	486574080
6060	1270121538	17	117	0x1d008ce1	4294966366	486575329
6090	1270125895	56	45	0x1d008843	1216	486574147
6120	1270130675	24	486	0x1d008a8e	4294966108	486574734
6150	1270134982	-15	-141	0x1d008b4f	1830	486574927
6180	1270139423	57	15	0x1d008949	303	486574409
6210	1270144009	-51	32	0x1d008c72	4294967129	486575218
6240	1270148548	52	151	0x1d008b67	4294967051	486574951
