nHeight	timeStamp	与每块标准出块时间差值	与每17块标准时间差值	nBits 16hex	每块难度差值	nBits
0	1269211443	0	0	0x1c7fffff	0	478150655
30	1269217429	12	904	0x1d008985	4286543482	486574469
60	1269223193	70	618	0x1d00a1b1	4294964289	486580657
90	1269229259	26	884	0x1d00c1ab	4294962023	486588843
120	1269235473	97	1059	0x1d00ea4f	4294960727	486599247
150	1269241369	31	792	0x1d011c74	4294959870	486612084
180	1269247280	65	766	0x1d015306	4294958740	486626054
210	1269253427	11	985	0x1d0193c5	4294956513	486642629
240	1269259285	86	797	0x1d01dec4	4294957547	486661828
270	1269265384	15	949	0x1d02425a	4294952112	486687322
300	1269271436	30	732	0x1d02c12c	4294949946	486719788
330	1269277571	100	911	0x1d035770	4294943366	486758256
360	1269283567	69	809	0x1d03f63e	4294945928	486798910
390	1269289865	100	1108	0x1d04df84	4294931257	486858628
420	1269295777	46	743	0x1d06006d	4294927620	486932589
450	1269301970	19	981	0x1d07347e	4294912136	487011454
480	1269307956	60	1012	0x1d08998e	4294912547	487102862
510	1269313571	1	626	0x1d0a0445	4294924691	487195717
540	1269319511	82	766	0x1d0bd5dd	4294894815	487314909
570	1269325383	1	726	0x1d0dfe4e	4294880428	487456334
600	1269331497	57	889	0x1d10e727	4294854415	487647015
630	1269337473	90	815	0x1d1458c6	4294835791	487872710
660	1269343535	18	755	0x1d187fd7	4294797885	488144855
690	1269349613	22	939	0x1d1d57ff	4294787175	488462335
720	1269355416	6	743	0x1d22c41d	4294779332	488817693
750	1269361250	39	858	0x1d28dd8c	4294738464	489217420
780	1269366988	23	650	0x1d2fe426	4294706149	489677862
810	1269373164	30	882	0x1d3a5e77	4294514927	490364535
840	1269378883	11	659	0x1d442a50	4294540644	491006544
870	1269384802	94	757	0x1d4fc414	4294498802	491766804
900	1269390753	8	822	0x1d5ed34e	4294389714	492753742
930	1269396731	92	892	0x1d70724b	4294287269	493908555
960	1269402616	53	845	0x1e008508	4286178082	503350536
990	1269408518	72	682	0x1e009fc8	4294963496	503357384
1020	1269414561	21	851	0x1e00bfe8	4294962282	503365608
1050	1269420629	78	1002	0x1e00e4da	4294961391	503375066
1080	1269426627	19	700	0x1e0117b9	4294959841	503388089
1110	1269432608	67	936	0x1e0148b0	4294959251	503400624
1140	1269438829	55	1020	0x1e0192a3	4294956293	503419555
1170	1269444639	1	674	0x1e01e83c	4294954841	503441468
1200	1269450662	99	784	0x1e0243f1	4294951141	503464945
1230	1269456462	46	647	0x1e02a1d0	4294954458	503488976
1260	1269462365	9	737	0x1e032258	4294946469	503521880
1290	1269468339	2	762	0x1e03c5bf	4294940105	503563711
1320	1269474410	47	891	0x1e048078	4294935403	503611512
1350	1269480243	77	732	0x1e05457a	4294939811	503661946
1380	1269486301	42	977	0x1e064f06	4294926063	503729926
1410	1269492592	26	1045	0x1e07ceb1	4294909892	503828145
1440	1269498688	48	935	0x1e098236	4294905618	503939638
1470	1269504670	55	766	0x1e0b7899	4294897496	504068249
1500	1269510708	80	839	0x1e0dbb7b	4294879665	504216443
1530	1269516847	91	985	0x1e10bd66	4294843718	504413542
1560	1269523097	77	1076	0x1e1461fd	4294816038	504652285
1590	1269528882	77	692	0x1e186e1a	4294836172	504917530
1620	1269534869	67	823	0x1e1cc3bf	4294795415	505201599
1650	1269540911	46	824	0x1e23272c	4294701351	505620268
1680	1269546751	24	576	0x1e298862	4294735883	506038370
1710	1269552702	74	874	0x1e30b5a4	4294677685	506508708
1740	1269558869	0	858	0x1e3bfd80	4294519944	507248000
1770	1269565125	36	1018	0x1e49bf36	4294390931	508149558
1800	1269570953	42	834	0x1e575365	4294487621	509039461
1830	1269577055	78	905	0x1e683392	4294320689	510145426
1860	1269582793	60	720	0x1e7b6daf	4294302161	511405487
1890	1269588696	33	844	0x1f009336	4294963224	520131382
1920	1269594523	48	640	0x1f00ac5e	4294963435	520137822
1950	1269600525	70	877	0x1f00cc5e	4294961772	520146014
1980	1269606753	76	1002	0x1f00f6d6	4294960678	520156886
2010	1269612848	76	941	0x1f012fe7	4294959047	520171495
2040	1269618721	77	689	0x1f016ad7	4294958929	520186583
2070	1269624699	80	790	0x1f01af63	4294956567	520204131
2100	1269630698	17	741	0x1f020313	4294955731	520225555
2130	1269636720	70	972	0x1f026981	4294951054	520251777
2160	1269642592	50	698	0x1f02e016	4294949208	520282134
2190	1269648389	97	667	0x1f035e37	4294948442	520314423
2220	1269654263	81	713	0x1f03f63c	4294942822	520353340
2250	1269660510	55	841	0x1f04d9e4	4294931475	520411620
2280	1269666422	59	741	0x1f05bdf7	4294937252	520470007
2310	1269672241	27	964	0x1f06a88f	4294934230	520530063
2340	1269678329	64	936	0x1f082dff	4294909532	520629759
2370	1269684143	68	615	0x1f09bcf3	4294911440	520731891
2400	1269689896	27	749	0x1f0b476d	4294900744	520832877
2430	1269695931	54	924	0x1f0d7c00	4294876757	520977408
2460	1269701828	60	705	0x1f100864	4294875735	521144420
2490	1269707730	44	688	0x1f133914	4294833565	521353492
2520	1269713575	0	653	0x1f16925f	4294823502	521572959
2550	1269719648	28	763	0x1f1abbbf	4294810796	521845695
2580	1269725425	29	724	0x1f1f802f	4294796982	522158127
2610	1269731477	3	929	0x1f25a426	4294724086	522560550
2640	1269737441	33	856	0x1f2d1b0e	4294695671	523049742
2670	1269743259	61	738	0x1f3501a4	4294683774	523567524
2700	1269749421	95	869	0x1f4035f6	4294531386	524301814
2730	1269755542	44	780	0x1f4f42ac	4294388583	525288108
2760	1269761624	83	973	0x1f5db01d	4294354960	526233629
2790	1269767714	67	795	0x1f73173f	4294195597	527636287
2820	1269773760	46	1056	0x20008913	4286225182	536906003
2850	1269779710	17	661	0x2000a7be	4294962878	536913854
2880	1269785681	94	893	0x2000c330	4294962769	536920880
2910	1269791729	86	881	0x2000ee4a	4294961191	536931914
2940	1269797660	66	860	0x20011b59	4294960570	536943449
2970	1269803709	16	901	0x20015637	4294957881	536958519
3000	1269809548	99	667	0x2001928d	4294959015	536973965
3030	1269815638	99	877	0x2001e21e	4294954468	536994334
3060	1269821342	58	589	0x200234b5	4294957116	537015477
3090	1269827001	20	773	0x20028588	4294956283	537036168
3120	1269833037	100	931	0x200300c9	4294949432	537067721
3150	1269839032	89	798	0x2003a5e6	4294944108	537109990
3180	1269845108	42	854	0x20046e22	4294933915	537161250
3210	1269850967	86	783	0x20053692	4294936736	537212562
3240	1269857223	18	983	0x200669ac	4294917642	537291180
3270	1269863160	27	771	0x2007ade8	4294917253	537374184
3300	1269869211	78	914	0x20093569	4294910487	537474409
3330	1269875615	86	1092	0x200b7034	4294875993	537620532
3360	1269881617	25	854	0x200dd8e3	4294884921	537778403
3390	1269887618	20	812	0x200f45cf	4294946089	537871823
3420	1269893732	35	826	0x200f2541	2998	537863489
3450	1269899874	30	940	0x200efe3c	1672	537853500
3480	1269905952	95	1049	0x200f1b70	4294958961	537860976
3510	1269911987	32	892	0x200efec8	16614	537853640
3540	1269918227	73	1018	0x200f276a	4294953162	537864042
3570	1269924140	37	1022	0x200fc93f	4294922369	537905471
3600	1269930226	77	983	0x200f21fc	4289	537862652
3630	1269936435	51	893	0x200f6026	4294956261	537878566
3660	1269942143	53	624	0x200eb39f	34308	537834399
3690	1269947801	14	718	0x200f9cdb	4294908955	537894107
3720	1269953654	43	692	0x200ee8e0	4294958984	537848032
3750	1269959822	63	1024	0x200f4153	4294936822	537870675
3780	1269965759	37	835	0x200f012f	5195	537854255
3810	1269971713	49	744	0x200ef471	1683	537850993
3840	1269977496	7	832	0x200f814a	4294919239	537887050
3870	1269983369	75	762	0x200ee46a	15316	537846890
3900	1269989109	96	665	0x200ed4e0	58272	537842912
3930	1269995283	48	995	0x200fe859	4294902165	537913433
3960	1270001262	84	1006	0x200ef926	15651	537852198
3990	1270007324	57	805	0x200f26af	7373	537863855
4020	1270013505	82	863	0x200f1645	4294961007	537859653
4050	1270019728	86	983	0x200f02a5	8355	537854629
4080	1270025703	39	773	0x200efa9f	9183	537852575
4110	1270031914	61	809	0x200f4532	4294947506	537871666
4140	1270037728	21	816	0x200ee80a	12972	537847818
4170	1270043895	36	970	0x200f33d3	4294939031	537867219
4200	1270049951	98	963	0x200f137e	4101	537858942
4230	1270056010	78	984	0x200f0733	4294955878	537855795
4260	1270061930	58	812	0x200ed363	26005	537842531
4290	1270068047	25	848	0x200f4deb	31817	537873899
4320	1270074164	23	938	0x200f0c38	2147	537857080
4350	1270080032	41	911	0x200f77d0	4294932846	537884624
4380	1270086028	85	722	0x200f2781	4371	537864065
