nHeight	timeStamp	与每块标准出块时间差值	与每17块标准时间差值	nBits 16hex	每块难度差值	nBits
0	1269211443	0	0	0x1c7fffff	0	478150655
30	1269214575	-72	-594	0x1c71b74d	936114	477214541
60	1269217868	-4	-693	0x1c61cf6c	626308	476172140
90	1269220716	-76	-896	0x1c50891c	687661	475040028
120	1269223673	-44	-822	0x1c42976b	463316	474126187
150	1269226657	-84	-1019	0x1c375fbb	379471	473391035
180	1269229482	-98	-925	0x1c2c9985	363041	472684933
210	1269232753	-73	-592	0x1c2550e9	235732	472207593
240	1269235575	-25	-991	0x1c1ea032	302389	471769138
270	1269238339	-97	-1047	0x1c193608	193870	471414280
300	1269241173	-100	-973	0x1c14627e	163412	471097982
330	1269244134	-4	-774	0x1c107c0d	119006	470842381
360	1269247295	-51	-673	0x1c0dab38	103467	470657848
390	1269250513	-40	-577	0x1c0bae98	75591	470527640
420	1269253352	-70	-952	0x1c09c491	74717	470402193
450	1269256232	-95	-931	0x1c07ebb5	62539	470281141
480	1269259136	-45	-871	0x1c0671ba	55690	470184378
510	1269261991	-80	-875	0x1c0546d4	40736	470107860
540	1269265041	-74	-853	0x1c045ee3	27291	470048483
570	1269267997	-58	-1010	0x1c03a198	27434	470000024
600	1269270854	-66	-907	0x1c02f03d	21989	469954621
630	1269274093	-50	-818	0x1c027b51	16970	469924689
660	1269277101	-38	-821	0x1c020d5d	16288	469896541
690	1269280232	-2	-698	0x1c01b8ff	10742	469874943
720	1269283296	-33	-778	0x1c0173c3	9592	469857219
750	1269286618	-44	-786	0x1c013fb4	6903	469843892
780	1269289535	-13	-806	0x1c0107f7	7521	469829623
810	1269292443	-69	-998	0x1c00d9b0	6645	469817776
840	1269295365	-62	-839	0x1c00af38	5908	469806904
870	1269298207	-21	-933	0x1c008ffd	4629	469798909
900	1269301159	-87	-829	0x1b765d5d	9053792	460741981
930	1269304235	-22	-789	0x1b618153	785708	459374931
960	1269306982	-98	-1003	0x1b501b80	695562	458234752
990	1269310089	-65	-909	0x1b431f20	410708	457383712
1020	1269312988	-89	-864	0x1b362db0	493952	456535472
1050	1269316059	-96	-861	0x1b2df0df	289110	455995615
1080	1269318881	-46	-1030	0x1b255976	317649	455432566
1110	1269321461	-61	-1100	0x1b1d9148	268435	454922568
1140	1269324532	-99	-816	0x1b185847	155441	454580295
1170	1269327543	-85	-844	0x1b13d140	176714	454283584
1200	1269330296	-61	-970	0x1b0ffc1b	154372	454032411
1230	1269332950	-97	-1094	0x1b0cf758	110852	453834584
1260	1269335872	-75	-817	0x1b0a6e3c	82518	453668412
1290	1269339220	-54	-774	0x1b09055d	46348	453576029
1320	1269342236	-39	-810	0x1b078177	51651	453476727
1350	1269345033	-77	-882	0x1b062177	53298	453386615
1380	1269347978	-27	-833	0x1b04f0d0	43140	453308624
1410	1269351294	-7	-758	0x1b0441c9	25924	453263817
1440	1269354284	-85	-809	0x1b039614	21851	453219860
1470	1269357229	-12	-977	0x1b02f0e6	22671	453177574
1500	1269360626	-17	-641	0x1b028211	13847	453149201
1530	1269363629	-5	-901	0x1b02180e	17537	453122062
1560	1269366440	-47	-972	0x1b01b88a	14151	453097610
1590	1269369540	-10	-677	0x1b01687e	9597	453077118
1620	1269372725	-33	-681	0x1b013445	7478	453063749
1650	1269375777	-4	-741	0x1b010412	5841	453051410
1680	1269378954	-62	-820	0x1b00dabe	5096	453040830
1710	1269382033	-78	-736	0x1b00b643	4846	453031491
1740	1269384946	-9	-803	0x1b00940b	5485	453022731
1770	1269387593	-100	-1064	0x1a7a3db6	8801394	444218806
1800	1269390446	-31	-918	0x1a60eb03	844135	442559235
1830	1269393469	-37	-677	0x1a4ed640	680246	441374272
1860	1269396658	-73	-793	0x1a44b401	390336	440710145
1890	1269399765	-21	-708	0x1a38994e	404535	439916878
1920	1269402794	-79	-747	0x1a2f7f41	333806	439320385
1950	1269405733	-99	-989	0x1a27c0e4	289961	438812900
1980	1269408604	-16	-770	0x1a1f3481	311236	438252673
