nHeight	timeStamp	与每块标准出块时间差值	与每17块标准时间差值	nBits 16hex	每块难度差值	nBits
0	1269211443	0	0	0x1c7fffff	0	478150655
30	1269220688	222	2638	0x1d00c0a8	4286529367	486588584
60	1269229527	75	2633	0x1d018cb4	4294933928	486640820
90	1269238774	108	2704	0x1d038887	4294878759	486770823
120	1269247894	76	2500	0x1d07bc80	4294788272	487046272
150	1269257041	158	2654	0x1d112d7c	4294560570	487665020
180	1269266127	238	2774	0x1d2497d0	4294147706	488937424
210	1269275381	150	2586	0x1d555f51	4292825567	492134225
240	1269284223	218	2364	0x1e00afc1	4286002811	503361473
270	1269293342	70	2500	0x1e018a8b	4294931053	503417483
300	1269301810	123	2210	0x1e032f65	4294898543	503525221
330	1269311491	176	2773	0x1e07151c	4294786501	503780636
360	1269320408	155	2721	0x1e0fb65a	4294599554	504346202
390	1269329519	188	2661	0x1e2228aa	4294164152	505555114
420	1269338560	242	2591	0x1e485e9d	4293333800	508059293
450	1269347717	88	2342	0x1f00ac20	4285045872	520137760
480	1269357073	53	2826	0x1f0174d7	4294932149	520189143
510	1269366205	218	2675	0x1f033d32	4294891001	520305970
540	1269375276	219	2294	0x1f074805	4294791378	520570885
570	1269384597	62	2883	0x1f0fcd88	4294583957	521129352
600	1269393867	167	2874	0x1f2259af	4294174377	522344879
630	1269402519	210	2616	0x1f475b7a	4293495485	524770170
660	1269411204	249	2384	0x200098ab	4284790267	536909995
690	1269420279	133	2397	0x200151a6	4294934912	536957350
720	1269429261	227	2450	0x2002d8c6	4294897700	537057478
750	1269438154	178	2149	0x200629be	4294823247	537274814
780	1269447401	220	2964	0x200ce83e	4294649284	537716798
810	1269456256	188	2250	0x20119c35	59637	538025013
840	1269465095	167	2503	0x1f0f7051	16849814	521105489
870	1269473885	50	2141	0x2010850f	140841	537953551
900	1269482834	134	2375	0x20111244	61173	537989700
930	1269491802	121	2533	0x20012c3b	4278386921	536947771
960	1269500383	83	2528	0x201192e3	4294921476	538022627
990	1269509580	97	2849	0x1f0e4147	15903037	521027911
1020	1269518786	243	2522	0x1f0c4cd5	17140825	520899797
1050	1269527304	134	2355	0x2012a1d0	4294966748	538091984
1080	1269536295	145	2680	0x20120c8b	4294909833	538053771
1110	1269545162	58	2424	0x2011d04d	4294956871	538038349
1140	1269554446	135	2756	0x201167ff	80695	538011647
1170	1269563092	180	2382	0x20010756	2462	536938326
1200	1269572221	165	2706	0x2012f010	4294858114	538112016
1230	1269581626	92	2780	0x2011e6c0	4294957240	538044096
1260	1269590779	221	2738	0x20121c18	16657	538057752
1290	1269599798	105	2556	0x20013877	1091360	536950903
1320	1269608886	232	2387	0x20111465	132709	537990245
1350	1269618104	109	2629	0x2012187e	10509	538056830
1380	1269627515	205	2961	0x2011e533	52396	538043699
1410	1269636579	176	2460	0x2011a5ee	113903	538027502
1440	1269645799	93	2818	0x1f2b73c3	15071356	522941379
1470	1269654307	141	2262	0x2011600e	14256	538009614
1500	1269662512	185	2272	0x2010c02b	20859	537968683
1530	1269671708	142	2772	0x20011fa8	4278955070	536944552
1560	1269680805	203	2604	0x2011b71d	2649	538031901
1590	1269690108	208	2443	0x1f37a2cf	14377284	523739855
1620	1269699885	238	3017	0x20121c52	9162	538057810
1650	1269708895	235	2427	0x20118932	39339	538020146
1680	1269718016	226	2534	0x20128a2f	4293838357	538085935
1710	1269727408	107	2914	0x201236e0	4294913006	538064608
1740	1269736277	112	2302	0x200097bd	4283711985	536909757
1770	1269745307	203	2582	0x2010ce56	4277835983	537972310
1800	1269754143	125	2632	0x2000b9b5	1161807	536918453
1830	1269763071	250	2102	0x201232f7	4294964347	538063607
1860	1269772016	101	2546	0x1f00a518	17915899	520135960
1890	1269780657	244	2534	0x1f659310	11326172	526750480
1920	1269790005	205	2647	0x2011e90d	25055	538044685
1950	1269799424	161	2970	0x2000bd93	4279390972	536919443
