nHeight	timeStamp	与每块标准出块时间差值	与每17块标准时间差值	nBits 16hex	每块难度差值	nBits
0	1269211443	0	0	0x1c7fffff	0	478150655
30	1269213793	-87	-1253	0x1c618634	1997259	476153396
60	1269215892	-78	-1369	0x1c3dab3f	1184742	473803583
90	1269218263	-96	-1238	0x1c284e97	687359	472403607
120	1269220457	-77	-1262	0x1c19b4ef	481264	471446767
150	1269222750	-98	-1248	0x1c10bf5a	302944	470859610
180	1269224942	-84	-1325	0x1c0acd20	208978	470469920
210	1269227228	-70	-1219	0x1c06efa9	124410	470216617
240	1269229457	-76	-1259	0x1c048a3d	80782	470059581
270	1269231619	-69	-1364	0x1c02dbea	56782	469949418
300	1269233833	-73	-1276	0x1c01d817	33331	469882903
330	1269236158	-86	-1219	0x1c013419	21054	469840921
360	1269238569	-54	-1178	0x1c00cb40	13544	469814080
390	1269240901	-95	-1184	0x1c008658	9010	469796440
420	1269243149	-77	-1156	0x1b56a03d	1616966	458661949
450	1269245329	-88	-1336	0x1b379a86	1083788	456628870
480	1269247417	-86	-1482	0x1b23d6fa	679929	455333626
510	1269249768	-59	-1183	0x1b16c4e7	407434	454477031
540	1269252076	-100	-1262	0x1b0f17fb	266027	453974011
570	1269254250	-80	-1310	0x1b09a2fa	181367	453616378
600	1269256582	-54	-1203	0x1b0640eb	112029	453394667
630	1269258910	-57	-1234	0x1b041fe5	70696	453255141
660	1269261186	-83	-1246	0x1b02ac6c	49417	453160044
690	1269263340	-71	-1408	0x1b01bb72	33618	453098354
720	1269265622	-64	-1222	0x1b011a9b	19120	453057179
750	1269267800	-84	-1360	0x1b00b5f6	13745	453031414
780	1269269993	-71	-1316	0x1a7327e3	9268659	443754467
810	1269272262	-100	-1227	0x1a4ace1e	1332862	441110046
840	1269274313	-94	-1353	0x1a2f314b	936243	439300427
870	1269276588	-50	-1309	0x1a1e7c1f	542973	438205471
900	1269278766	-90	-1302	0x1a1359c1	373157	437475777
930	1269281108	-91	-1260	0x1a0cbb3b	221589	437041979
960	1269283412	-88	-1244	0x1a08393d	150061	436746557
990	1269285711	-93	-1307	0x1a056d62	97874	436563298
1020	1269287951	-77	-1236	0x1a037b6a	64779	436435818
1050	1269290291	-80	-1289	0x1a024fcc	40341	436359116
1080	1269292510	-95	-1269	0x1a017b55	27947	436304725
1110	1269294768	-70	-1186	0x1a00f024	18865	436269092
1140	1269297130	-51	-1261	0x1a00a2fb	10315	436249339
1170	1269299318	-90	-1318	0x19672031	10052939	426188849
1200	1269301720	-67	-1154	0x1944171f	1209357	423892767
1230	1269303790	-94	-1349	0x192ae147	925537	422240583
1260	1269306052	-91	-1254	0x191bf74a	497670	421263178
1290	1269308174	-99	-1369	0x1911d1a4	343501	420598180
1320	1269310350	-95	-1264	0x190b38bf	212646	420165823
1350	1269312654	-91	-1246	0x1907564b	125580	419911243
1380	1269315020	-56	-1149	0x1904c0e0	84045	419741920
1410	1269317211	-76	-1272	0x1903136f	61428	419631983
1440	1269319417	-74	-1264	0x1901f83b	38933	419559483
1470	1269321751	-60	-1229	0x19014c8d	22169	419515533
1500	1269323938	-67	-1309	0x1900d6ad	15903	419485357
1530	1269326060	-85	-1401	0x19008839	10237	419465273
1560	1269328392	-74	-1219	0x18581c14	1508433	408427540
1590	1269330619	-56	-1265	0x18385002	1090542	406343682
1620	1269332774	-92	-1277	0x1823f859	702857	405010521
1650	1269334985	-61	-1218	0x1816ed5b	451996	404155739
1680	1269337329	-67	-1258	0x180f3c74	260462	403651700
1710	1269339411	-81	-1403	0x1809b062	190116	403288162
1740	1269341617	-95	-1281	0x18062589	111971	403056009
1770	1269343929	-83	-1248	0x18040317	70326	402916119
1800	1269346150	-74	-1332	0x18029679	48172	402822777
1830	1269348210	-92	-1386	0x18019d11	32043	402758929
1860	1269350334	-95	-1317	0x180100b2	20823	402718898
1890	1269352504	-93	-1318	0x1800a3af	12689	402695087
1920	1269354753	-94	-1264	0x1769e7a0	9871084	392816544
