nHeight	timeStamp	与每块标准出块时间差值	与每17块标准时间差值	nBits 16hex	每块难度差值	nBits
3210	1269855075	58	665	0x200f7a60	11406	537885280
3240	1269861160	95	1019	0x200f819f	4294955018	537887135
3270	1269867160	99	876	0x200fdc79	3725	537910393
3300	1269873275	52	855	0x200f5c4a	4294953530	537877578
3330	1269879326	88	847	0x200fb144	4294960385	537899332
3360	1269885224	22	812	0x200fffdc	4294955006	537919452
3390	1269891379	52	1049	0x200fbdb3	12565	537902515
3420	1269897163	29	687	0x200ee275	84037	537846389
3450	1269903103	31	855	0x1f3b7d4e	13867757	523992398
3480	1269909081	76	739	0x200fa1fa	4294957303	537895418
3510	1269915403	63	1040	0x200f3e5b	31243	537869915
3540	1269921368	71	887	0x200f35cc	15282	537867724
3570	1269927279	43	765	0x200f8cb6	4294961594	537889974
3600	1269933638	100	982	0x20102c53	4294938976	537930835
3630	1269939619	50	861	0x200f25da	4294932804	537863642
3660	1269945627	19	809	0x200f8a41	4294961154	537889345
3690	1269951635	12	813	0x200fef3a	4294951039	537915194
3720	1269957342	31	507	0x200f96c7	4294934788	537892551
3750	1269963068	62	596	0x200f18c1	4294957461	537860289
3780	1269968962	74	809	0x200f0731	4294956762	537855793
3810	1269975075	11	965	0x200f9276	4294936966	537891446
3840	1269981059	99	859	0x200fcfc0	4294965082	537907136
3870	1269987258	34	1012	0x200ec01a	86016	537837594
3900	1269993335	1	789	0x200fbe1a	4294945167	537902618
3930	1269999173	75	885	0x200f8a70	3875	537889392
3960	1270005042	9	775	0x200fbf99	2543	537903001
3990	1270011116	31	760	0x200fd442	2527	537908290
4020	1270017212	3	843	0x201024eb	4294930761	537928939
4050	1270023068	11	751	0x200f0f96	4294938744	537857942
4080	1270029176	82	852	0x200fb40c	4294931933	537900044
4110	1270034843	7	717	0x200f6394	9718	537879444
4140	1270040444	52	596	0x200ec937	31105	537839927
4170	1270046389	92	972	0x200f3b7c	4294923995	537869180
4200	1270052040	78	606	0x200f3bfc	13854	537869308
4230	1270058107	39	907	0x200f2935	4294956835	537864501
4260	1270064023	38	849	0x200f4cdc	6228	537873628
4290	1270069943	8	711	0x200f8a44	1106	537889348
4320	1270075986	11	810	0x20101083	4294947068	537923715
4350	1270081910	10	719	0x2010100b	4294898805	537923595
4380	1270087666	0	645	0x200f1dbe	3584	537861566
4410	1270093867	90	962	0x200f9ac9	4294916989	537893577
4440	1270100022	75	978	0x2010277f	4294930462	537929599
4470	1270106240	79	1029	0x200f43cd	4294941042	537871309
4500	1270112427	61	938	0x200ea3c4	93991	537830340
4530	1270118370	54	987	0x200f3edf	4278044787	537870047
4560	1270124433	68	753	0x20100790	4294952335	537921424
4590	1270130374	14	827	0x200fb792	4294967229	537900946
4620	1270136515	45	893	0x200fbc0e	19163	537902094
4650	1270142476	65	718	0x200fe876	4294965518	537913462
4680	1270148410	34	676	0x200f0821	68891	537856033
4710	1270154305	70	802	0x200f63e6	4277931799	537879526
4740	1270160247	73	842	0x200f5ded	4294964606	537877997
4770	1270166333	20	878	0x200fca16	4294958966	537905686
4800	1270172080	48	896	0x200fc3e6	4293989803	537904102
4830	1270178118	27	959	0x201002ba	4294954384	537920186
4860	1270183952	45	762	0x200efbc4	4277257245	537852868
4890	1270189902	36	790	0x200f7f28	4294948467	537886504
4920	1270196108	25	941	0x200fc766	4294942923	537904998
4950	1270202053	78	836	0x200e022f	141925	537788975
4980	1270208105	86	807	0x200f9d7b	27576	537894267
5010	1270214131	74	956	0x200ffaea	4294955490	537918186
5040	1270220181	99	893	0x200edfc6	78060	537845702
5070	1270226014	41	883	0x200f6156	8656	537878870
5100	1270232300	25	969	0x20101eb6	4294945467	537927350
5130	1270238206	56	726	0x200f533a	4294900617	537875258
5160	1270244277	29	778	0x200fc75c	4294945553	537904988
5190	1270250224	50	599	0x200e9d81	86583	537828737
5220	1270255955	31	728	0x200f7f73	4294943254	537886579
5250	1270261675	5	606	0x1f5b5819	11797420	526080025
5280	1270267803	86	1061	0x200f421b	4294945732	537870875
5310	1270273895	76	893	0x200fc747	4294952317	537904967
5340	1270279986	70	936	0x200f5330	40778	537875248
5370	1270286180	84	1084	0x200fb1a9	4294929572	537899433
5400	1270291920	69	723	0x200ddcd8	142390	537779416
5430	1270298105	62	839	0x2010247d	4294939682	537928829
5460	1270304238	27	835	0x200fd4cf	4294903459	537908431
5490	1270310286	72	964	0x200feab2	4294966497	537914034
5520	1270316017	24	683	0x200f80d2	4294932652	537886930
5550	1270322169	42	809	0x200fbf33	4294954874	537902899
5580	1270328450	10	929	0x200ec35e	93697	537838430
5610	1270334281	38	784	0x200f0d8a	4294957168	537857418
5640	1270340250	32	664	0x200fb8ba	4294947859	537901242
5670	1270346143	34	711	0x200f9bbe	4294955418	537893822
5700	1270352213	77	878	0x200fda2e	4294956388	537909806
5730	1270358079	41	756	0x200dda81	150837	537778817
5760	1270364030	40	867	0x200fa968	4294952269	537897320
5790	1270370291	96	1097	0x20102019	4294938913	537927705
5820	1270376130	12	737	0x200fb736	14932	537900854
5850	1270382260	68	1036	0x201004f8	4294944069	537920760
5880	1270387849	3	676	0x200f3549	4294953514	537867593
5910	1270393525	20	786	0x200eac2e	4430	537832494
5940	1270399500	42	820	0x200f85ee	4294943118	537888238
5970	1270405380	26	748	0x200fb72b	4294956355	537900843
6000	1270411255	44	873	0x200f8491	4294967286	537887889
6030	1270417252	74	863	0x200fc6bd	4294958943	537904829
6060	1270423325	13	948	0x200edfe7	70290	537845735
6090	1270429292	17	841	0x1f36ba8b	14187386	523680395
6120	1270435345	16	908	0x200fad9f	4294946376	537898399
6150	1270441207	94	760	0x200fc55a	4294960902	537904474
6180	1270447016	10	792	0x20008e15	987878	536907285
6210	1270452786	3	649	0x200f992c	8548	537893164
6240	1270458851	69	1013	0x200f9611	4294964977	537892369
6270	1270465092	93	1118	0x200f9359	36208	537891673
6300	1270471335	77	1067	0x200febdf	4294941978	537914335
6330	1270477255	15	779	0x200f2ad4	66014	537864916
6360	1270483113	67	725	0x200f5d96	4294963173	537877910
6390	1270489126	82	876	0x200f87c9	4294951070	537888713
6420	1270495164	100	883	0x20100477	4294939996	537920631
6450	1270501120	82	820	0x200f864b	4294934279	537888331
6480	1270507006	16	796	0x200f6212	4294963526	537879058
6510	1270513129	53	860	0x200ffb9d	4294941711	537918365
6540	1270519024	64	753	0x200ea2e5	42250	537830117
6570	1270524873	2	805	0x200f4c09	4294944181	537873417
6600	1270530858	69	769	0x200f69fb	4294967285	537881083
6630	1270536705	4	853	0x200f9f16	4294954852	537894678
6660	1270542703	53	955	0x200f7ec6	4580	537886406
6690	1270548829	50	884	0x200fc449	17071	537904201
6720	1270554715	67	810	0x200f7111	39221	537882897
6750	1270560850	1	810	0x200fd47b	4294932272	537908347
6780	1270566796	54	778	0x200ee8a7	67973	537847975
6810	1270572658	37	753	0x200f3fbf	8042	537870271
6840	1270578708	37	874	0x200f9219	4294961699	537891353
6870	1270584645	0	924	0x200fcf1e	4294962099	537906974
6900	1270590809	88	859	0x200e8f9a	101615	537825178
6930	1270597017	74	997	0x200fac6b	4294934209	537898091
6960	1270603024	3	857	0x200ec38b	69537	537838475
6990	1270608698	49	711	0x200fa588	4294922157	537896328
7020	1270614771	49	951	0x200fbf6d	4294936093	537902957
7050	1270620925	49	909	0x20101de9	4294945510	537927145
7080	1270626969	91	715	0x200f3a78	4294927668	537868920
7110	1270633125	94	857	0x200fa74a	4294938300	537896778
7140	1270639304	66	919	0x200ee5fc	71569	537847292
7170	1270645364	53	907	0x200fa00b	4294950816	537894923
7200	1270651211	9	709	0x200fdab0	4294963582	537909936
7230	1270657039	3	669	0x200fe0ed	5641	537911533
7260	1270663204	85	939	0x200fcfd4	4294957315	537907156
7290	1270669355	50	922	0x200fb93d	4294929999	537901373
7320	1270675259	1	791	0x200f6f60	4294957400	537882464
7350	1270681191	57	823	0x200f905e	4284493215	537890910
7380	1270687119	65	817	0x200fa1c4	365	537895364
7410	1270693333	77	869	0x200f3c26	40438	537869350
7440	1270699103	22	762	0x200f3ab8	4294933488	537868984
7470	1270705269	57	945	0x200fa110	4294952822	537895184
7500	1270711380	55	895	0x200ec806	74138	537839622
7530	1270717372	18	858	0x1f4f5dbe	12574258	525295038
7560	1270723268	27	779	0x200f8f10	4294959335	537890576
7590	1270729291	13	816	0x200fe312	4294959116	537912082
7620	1270735455	79	943	0x200f3ccb	51200	537869515
7650	1270741617	30	1005	0x200fed1c	4294924580	537914652
7680	1270747598	25	707	0x200ed7a3	28446	537843619
7710	1270753533	6	761	0x200f8f46	4294932766	537890630
7740	1270759805	99	1200	0x200fe54e	4294942483	537912654
7770	1270765707	3	843	0x200fdaf6	4294922642	537910006
7800	1270771853	22	815	0x20100d0b	4294944622	537922827
7830	1270777858	1	737	0x200fd4ca	8175	537908426
7860	1270783582	43	710	0x200fba58	7517	537901656
7890	1270789636	52	838	0x200ff4df	4294959668	537916639
7920	1270795881	18	869	0x200ef9d0	79062	537852368
7950	1270801713	29	737	0x200fd5d8	4294911759	537908696
7980	1270807666	44	758	0x200f37eb	8946	537868267
8010	1270813400	25	854	0x200efa7e	5607	537852542
8040	1270819382	23	862	0x200f481d	4294967209	537872413
8070	1270825531	3	775	0x20102405	4294925860	537928709
8100	1270831622	74	914	0x200fd167	4294958568	537907559
8130	1270837854	96	994	0x200fbcdf	16331	537902303
8160	1270844020	46	977	0x20102032	4294942035	537927730
8190	1270850160	64	895	0x200fd656	4294956851	537908822
8220	1270856338	47	980	0x200f8f27	28932	537890599
8250	1270862445	72	1008	0x200ff5fd	4294956164	537916925
8280	1270868413	5	754	0x200f0f47	69198	537857863
8310	1270874618	41	1114	0x200fb36d	4294841820	537899885
8340	1270880389	55	643	0x200f8431	4294936928	537887793
8370	1270886166	65	844	0x200f2bb0	8925	537865136
8400	1270892156	91	1005	0x200f3e7d	4294953477	537869949
8430	1270898396	15	791	0x200f4b9a	25213	537873306
8460	1270904509	49	873	0x200f6b51	4294880543	537881425
8490	1270910374	43	897	0x200fbd96	4294946672	537902486
8520	1270916569	64	861	0x200ed1b6	76171	537842102
8550	1270922374	4	757	0x200f5991	24092	537876881
8580	1270928200	97	764	0x200f2330	8447	537862960
8610	1270934263	38	981	0x200f3df5	4294950871	537869813
8640	1270940348	71	890	0x200fbf9b	4294957993	537903003
8670	1270946236	89	678	0x200fb50e	25360	537900302
8700	1270952267	59	788	0x200ff08e	4294940809	537915534
8730	1270958346	82	939	0x200ffbbb	4294961724	537918395
8760	1270964465	37	823	0x200e5e84	111122	537812612
8790	1270970453	24	819	0x200f4b58	4294955150	537873240
8820	1270976200	3	463	0x200f6842	20711	537880642
8850	1270982250	73	862	0x200f7e67	4294944554	537886311
8880	1270988462	99	1072	0x200fca3b	4294948610	537905723
8910	1270994430	50	845	0x200de9d4	4277553161	537782740
8940	1271000451	93	903	0x200f9603	4294940092	537892355
8970	1271006595	77	895	0x200f1736	49552	537859894
9000	1271012720	32	750	0x200fde4e	4294934219	537910862
9030	1271018384	59	688	0x200f951e	25626	537892126
9060	1271024415	2	825	0x201008f5	4294939216	537921781
9090	1271030339	65	795	0x200f2813	4294932831	537864211
9120	1271036583	75	1067	0x1f765713	10023495	527849235
9150	1271042568	30	695	0x200e4e7d	118553	537808509
9180	1271048470	49	979	0x200f5c7e	15417	537877630
9210	1271054502	81	766	0x200fe7db	4294951823	537913307
9240	1271060464	63	875	0x2000ef19	977022	536932121
9270	1271066551	29	883	0x200f2d76	4294928340	537865590
9300	1271072285	83	730	0x200f4d18	21812	537873688
9330	1271078394	97	894	0x200fc0c5	4294947806	537903301
9360	1271084551	2	802	0x200fbefc	21382	537902844
9390	1271090542	46	923	0x200fd115	4294952279	537907477
9420	1271096531	40	888	0x2000ecd5	977575	536931541
9450	1271102315	82	766	0x200fe1bf	4294868463	537911743
9480	1271108145	72	757	0x200f62f1	4294965448	537879281
