nHeight	timeStamp	与每块标准出块时间差值	与每17块标准时间差值	nBits 16hex	每块难度差值	nBits
0	1269211443	0	0	0x1c7fffff	0	478150655
30	1269214467	-78	-825	0x1c69abaf	1463376	476687279
60	1269217402	-59	-956	0x1c4e3282	908997	474886786
90	1269220569	-4	-728	0x1c3be6e7	493199	473687783
120	1269223471	-77	-894	0x1c2c853f	554281	472679743
150	1269226493	-98	-944	0x1c224426	321144	472007718
180	1269229521	-94	-863	0x1c18fcb6	313610	471399606
210	1269232495	-83	-774	0x1c12f506	203399	471004422
240	1269235767	-87	-677	0x1c0ecb85	118937	470731653
270	1269238713	-15	-899	0x1c0b1b39	141219	470489913
300	1269241814	-60	-704	0x1c084f92	101836	470306706
330	1269244755	-34	-723	0x1c061bfc	80667	470162428
360	1269247956	-57	-751	0x1c04c8f6	57784	470075638
390	1269251089	-86	-722	0x1c03c07f	39687	470007935
420	1269254375	-81	-847	0x1c0305c7	30051	469960135
450	1269257177	-95	-933	0x1c022d1a	30694	469904666
480	1269260321	-38	-782	0x1c01b3d0	15250	469873616
510	1269263272	-12	-755	0x1c014032	15330	469844018
540	1269266320	-39	-827	0x1c00f117	11780	469823767
570	1269269293	-60	-845	0x1c00b41e	9136	469808158
600	1269272190	-41	-929	0x1c0087fe	6284	469796862
630	1269275383	-4	-767	0x1b674769	1040492	459753321
660	1269278416	-9	-886	0x1b4f9edd	873071	458202845
690	1269281235	-59	-935	0x1b3985d3	739670	456754643
720	1269284144	-34	-932	0x1b2aa31f	499819	455779103
750	1269287363	-2	-753	0x1b212375	286169	455156597
780	1269290518	-30	-887	0x1b19a2d3	293632	454664915
810	1269293468	-92	-1019	0x1b13e863	205712	454289507
840	1269296510	-83	-889	0x1b0e9b72	164285	453942130
870	1269299567	-80	-786	0x1b0b1843	102034	453711939
900	1269302587	-37	-750	0x1b0850fd	89193	453529853
930	1269305721	-21	-790	0x1b065d5c	58885	453401948
960	1269308743	-25	-794	0x1b04db18	52409	453303064
990	1269311664	-35	-869	0x1b039318	45199	453219096
1020	1269314629	-14	-872	0x1b02b0b1	31296	453161137
1050	1269317758	-6	-770	0x1b020ef5	17275	453119733
1080	1269320808	-33	-915	0x1b0198f7	14253	453089527
1110	1269324006	-23	-932	0x1b013ede	9998	453066462
1140	1269326912	-38	-769	0x1b00e480	11589	453043328
1170	1269329858	-85	-966	0x1b00aa17	8825	453028375
1200	1269332885	-45	-715	0x1b0081ac	5130	453018028
1230	1269335938	-62	-881	0x1a61bf3a	1175490	442613562
1260	1269338744	-28	-887	0x1a47988e	940011	440899726
1290	1269341787	-47	-785	0x1a349aec	621516	439655148
1320	1269344741	-41	-861	0x1a27e5f6	506813	438822390
1350	1269347557	-50	-1055	0x1a1de961	370687	438167905
1380	1269350494	-90	-947	0x1a159999	270676	437623193
1410	1269353318	-5	-1034	0x1a0fece3	211012	437251299
1440	1269356408	-44	-823	0x1a0bd0df	137589	436981983
1470	1269359275	-37	-800	0x1a0898b6	119801	436770998
1500	1269362392	-55	-834	0x1a06c464	63453	436651108
1530	1269365520	-23	-781	0x1a051976	62962	436541814
1560	1269368425	-28	-970	0x1a03d5f4	47913	436458996
1590	1269371394	-31	-1021	0x1a02e20a	33705	436396554
1620	1269374550	-45	-604	0x1a02221d	23153	436347421
1650	1269377733	-72	-748	0x1a01b6f1	16033	436319985
1680	1269380849	-68	-881	0x1a014e80	15367	436293248
1710	1269383939	-100	-808	0x1a010393	10725	436274067
1740	1269387017	-85	-812	0x1a00c6d7	7224	436258519
1770	1269390128	-38	-618	0x1a009370	6640	436245360
1800	1269392905	-98	-1050	0x196f1d59	9529470	426712409
1830	1269395959	-4	-736	0x19513fd8	870827	424755160
1860	1269398809	-71	-947	0x193c9b31	829171	423402289
1890	1269401716	-64	-796	0x192bffd1	584590	422313937
1920	1269404760	-63	-722	0x192185c4	337725	421627332
1950	1269407803	-69	-879	0x1919c783	269391	421119875
1980	1269410668	-60	-895	0x191295d4	251645	420648404
2010	1269413599	-78	-919	0x190e07ff	157039	420349951
2040	1269416772	-41	-632	0x190a7758	111289	420116312
2070	1269419549	-93	-1060	0x1907e647	99915	419948103
2100	1269422779	-63	-770	0x19061cf0	49440	419831024
2130	1269425526	-77	-1049	0x19046d50	63275	419720528
2160	1269428577	-34	-966	0x1903605d	31861	419651677
