nHeight	timeStamp	与每块标准出块时间差值	与每17块标准时间差值	nBits 16hex	每块难度差值	nBits
2790	1269491681	-54	-866	0x1901d51d	16519	419550493
2820	1269494782	-19	-752	0x1901796c	12096	419527020
2850	1269497645	-89	-1060	0x1901314f	10439	419508559
2880	1269500635	-80	-819	0x1900ea9d	9140	419490461
2910	1269503926	-68	-676	0x1900c13b	5989	419479867
2940	1269507002	-4	-803	0x19009f19	4864	419471129
2970	1269509958	-42	-875	0x187e5ba8	8532934	410934184
3000	1269512631	-40	-1234	0x18623178	1044175	409088376
3030	1269515647	-29	-843	0x184c8787	630955	407668615
3060	1269518557	-93	-933	0x183b7aaa	628589	406551210
3090	1269521688	-54	-761	0x183017db	366286	405805019
3120	1269524529	-45	-853	0x1825d7ff	367043	405133311
3150	1269527623	-11	-887	0x181e9f31	225135	404660017
3180	1269530891	-62	-806	0x181974a2	159248	404321442
3210	1269533715	-17	-938	0x1813a3a9	203550	403940265
3240	1269536868	-30	-775	0x180ff67a	127962	403699322
3270	1269540137	-31	-712	0x180d0885	103723	403507333
3300	1269543161	-42	-816	0x180aa213	86711	403350035
3330	1269546367	-80	-627	0x18089755	73236	403216213
3360	1269549512	-52	-759	0x180709bd	59089	403114429
3390	1269552802	-37	-761	0x1805e602	44419	403039746
3420	1269555949	-33	-789	0x1804cb6f	44348	402967407
3450	1269558896	-21	-783	0x1803ca36	36217	402901558
3480	1269561869	0	-883	0x180302f5	31419	402850549
3510	1269564607	-64	-991	0x18025a74	24647	402807412
3540	1269567584	-17	-935	0x1801e282	16054	402776706
3570	1269570615	-18	-932	0x18017b34	13560	402750260
3600	1269573552	-48	-946	0x18012d92	10623	402730386
3630	1269576565	-35	-841	0x1800ed2e	8649	402713902
3660	1269579287	-71	-992	0x1800b878	7909	402700408
3690	1269582521	-41	-761	0x18009436	4754	402691126
3720	1269585711	-9	-679	0x177a42f8	8799544	393888504
3750	1269588964	-5	-691	0x17656539	795080	392521017
3780	1269592011	-30	-876	0x1751cdc1	718538	391237057
3810	1269594912	-73	-972	0x17419af6	560849	390175478
3840	1269598170	-38	-572	0x1733dc5e	420290	389274718
3870	1269601341	-59	-678	0x172aded2	362705	388685522
3900	1269604210	-84	-867	0x1722402c	326727	388120620
3930	1269607321	-24	-678	0x171b4537	245088	387663159
3960	1269610468	-90	-737	0x171631ba	200523	387330490
3990	1269613215	-31	-967	0x17116156	196479	387014998
4020	1269616368	-66	-764	0x170e18c8	97025	386799816
4050	1269619478	-26	-826	0x170b5124	102367	386617636
4080	1269622731	-35	-587	0x170932e7	68697	386478823
4110	1269625632	-66	-875	0x170770fd	72286	386363645
4140	1269628692	-9	-888	0x1705ff28	48930	386268968
4170	1269631689	-66	-917	0x1704ce72	36296	386190962
4200	1269634823	-12	-725	0x1703cbda	31812	386124762
4230	1269638008	-89	-773	0x17032962	25529	386083170
4260	1269641059	0	-839	0x170283b7	23301	386040759
4290	1269644018	-90	-835	0x170201ed	17724	386007533
4320	1269646976	-76	-878	0x170193c8	17239	385979336
4350	1269649628	-12	-1111	0x17013bbd	13734	385956797
4380	1269652413	-68	-938	0x1700efc4	10026	385937348
4410	1269655221	-2	-1128	0x1700bae0	7671	385923808
4440	1269658164	-6	-856	0x17009017	5963	385912855
4470	1269661400	-61	-667	0x16757b88	9111791	376798088
4500	1269664389	-62	-776	0x165ea491	968728	375301265
4530	1269667553	-30	-751	0x164cff11	640100	374144785
4560	1269670613	-50	-745	0x163e5212	550426	373182994
4590	1269673890	-73	-647	0x1633d343	340697	372495171
4620	1269676865	-40	-986	0x1629b638	356233	371832376
4650	1269680013	-78	-834	0x16219a40	301437	371300928
4680	1269682944	-86	-871	0x161aa2d6	244016	370844374
4710	1269685952	-16	-796	0x1614f123	205509	370471203
4740	1269688969	-56	-921	0x16112af5	131386	370223861
4770	1269691918	-36	-925	0x160d40fd	146317	369967357
4800	1269694621	-82	-1177	0x160a81bc	100141	369787324
4830	1269697385	-38	-859	0x1607c5b7	88349	369608119
4860	1269700262	-40	-876	0x160620b7	59886	369500343
4890	1269703086	-71	-931	0x1604bf6b	52178	369409899
4920	1269705910	-85	-1055	0x1603be58	37851	369344088
4950	1269708881	-28	-755	0x1602e56d	27438	369288557
4980	1269711945	-54	-817	0x160255fc	19957	369251836
5010	1269714934	-81	-874	0x1601e2b3	15880	369222323
5040	1269717942	-91	-881	0x16017fee	13835	369197038
5070	1269720764	-67	-992	0x16012aaa	12029	369175210
